opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.2,0.2,0.001,5,0.9,55.0,18.788294228055936,0.1,0.0,0.9,0.0
0.2,0.2,0.002,5,1.0,57.7,18.138632804045624,0.0,0.0,1.0,0.0
0.2,0.2,0.005,5,0.9,56.9,20.549695861496346,0.1,0.0,0.9,0.0
0.2,0.2,0.01,6,1.0,45.2,11.923086848631105,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,1.0,61.2,14.5657131648265,0.0,0.0,1.0,0.0
0.2,0.2,0.05,5,1.0,49.4,16.66253282067285,0.0,0.0,1.0,0.0
0.5,0.5,0.001,7,0.9,60.7,22.104524423746376,0.1,0.0,0.9,0.0
0.5,0.5,0.002,4,1.0,53.4,15.531902652283136,0.0,0.0,1.0,0.0
0.5,0.5,0.005,6,1.0,55.1,17.137386031714406,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,1.0,54.8,18.021098745637016,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,0.9,47.7,17.175855146105537,0.1,0.0,0.9,0.0
0.5,0.5,0.05,5,0.9,56.2,17.937669859822932,0.1,0.0,0.9,0.0
1.0,1.0,0.001,7,1.0,53.6,15.818975946628152,0.0,0.0,1.0,0.0
1.0,1.0,0.002,4,0.9,57.2,19.098691054624663,0.1,0.0,0.9,0.0
1.0,1.0,0.005,5,1.0,56.4,12.459534501738016,0.0,0.0,1.0,0.0
1.0,1.0,0.01,5,1.0,56.9,8.642337646724988,0.0,0.0,1.0,0.0
1.0,1.0,0.02,5,1.0,59.7,12.617844506887854,0.0,0.0,1.0,0.0
1.0,1.0,0.05,5,0.8,58.2,20.677524029728513,0.2,0.0,0.8,0.0
0.01,0.01,0.001,5,1.0,54.9,13.545848072379965,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,49.3,14.704081066153028,0.0,0.0,1.0,0.0
0.01,0.01,0.005,4,1.0,59.1,22.735214975891477,0.0,0.0,1.0,0.0
0.01,0.01,0.01,5,1.0,51.7,8.185963596303125,0.0,0.0,1.0,0.0
0.01,0.01,0.02,5,1.0,47.6,6.151422599691879,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,49.7,18.406792224611,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,1.0,46.5,9.790301323248432,0.0,0.0,1.0,0.0
0.02,0.02,0.002,5,0.8,64.1,26.80093281958671,0.2,0.0,0.8,0.0
0.02,0.02,0.005,5,1.0,48.4,13.283071933856265,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,47.7,14.149558296992879,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,0.9,55.0,16.95877354056006,0.1,0.0,0.9,0.0
0.02,0.02,0.05,5,1.0,48.8,12.286578042726134,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,0.9,59.6,20.303694245136768,0.1,0.0,0.9,0.0
0.05,0.05,0.002,5,0.8,58.2,25.067109925158906,0.2,0.0,0.8,0.0
0.05,0.05,0.005,5,0.9,52.6,19.499743588057765,0.1,0.0,0.9,0.0
0.05,0.05,0.01,5,1.0,56.5,17.59119097730452,0.0,0.0,1.0,0.0
0.05,0.05,0.02,5,0.9,54.6,16.212340978402842,0.1,0.0,0.9,0.0
0.05,0.05,0.05,5,1.0,47.1,12.078493283518437,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,0.9,58.2,18.882796403075474,0.1,0.0,0.9,0.0
0.1,0.1,0.002,5,1.0,52.2,17.191858538273284,0.0,0.0,1.0,0.0
0.1,0.1,0.005,4,1.0,57.7,13.638548309845884,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,61.5,13.865424623862047,0.0,0.0,1.0,0.0
0.1,0.1,0.02,5,1.0,47.6,5.817215828899594,0.0,0.0,1.0,0.0
0.1,0.1,0.05,6,1.0,57.2,16.83330033000065,0.0,0.0,1.0,0.0
0.2,0.2,0.001,5,0.9,56.9,20.863604674168844,0.1,0.0,0.9,0.0
0.2,0.2,0.002,5,0.9,54.3,18.601344037461377,0.1,0.0,0.9,0.0
0.2,0.2,0.005,4,0.9,65.9,15.712733689590745,0.1,0.0,0.9,0.0
0.2,0.2,0.01,5,1.0,53.1,15.332644912082195,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,0.9,59.8,18.669761648183943,0.1,0.0,0.9,0.0
0.2,0.2,0.05,4,1.0,52.5,16.200308639035246,0.0,0.0,1.0,0.0
0.5,0.5,0.001,5,1.0,54.4,15.074481748969015,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,1.0,53.9,14.4183910336764,0.0,0.0,1.0,0.0
0.5,0.5,0.005,5,0.9,52.7,20.455072720476945,0.1,0.0,0.9,0.0
0.5,0.5,0.01,5,0.9,56.0,16.637307474468336,0.1,0.0,0.9,0.0
0.5,0.5,0.02,5,1.0,57.1,15.208221460775748,0.0,0.0,1.0,0.0
0.5,0.5,0.05,6,0.9,54.3,19.354844354837887,0.1,0.0,0.9,0.0
1,1,0.001,6,1.0,51.9,15.129111011556494,0.0,0.0,1.0,0.0
1,1,0.002,6,1.0,62.4,16.063623501564024,0.0,0.0,1.0,0.0
1,1,0.005,5,0.9,57.5,19.464069461446133,0.1,0.0,0.9,0.0
1,1,0.01,4,1.0,47.6,13.03993865016243,0.0,0.0,1.0,0.0
1,1,0.02,5,1.0,48.1,9.833107342035884,0.0,0.0,1.0,0.0
1.0,1.0,0.05,5,0.8,59.3,24.12488341940744,0.2,0.0,0.8,0.0
