opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.2,0.2,0.005,5,1.0,49.7,17.595738120351758,0.0,0.0,1.0,0.0
0.2,0.2,0.01,6,1.0,49.1,16.152089648091977,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,1.0,43.9,7.816009211867653,0.0,0.0,1.0,0.0
0.2,0.2,0.05,5,1.0,46.2,8.919641248391104,0.0,0.0,1.0,0.0
0.5,0.5,0.001,5,1.0,45.6,10.384603988597735,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,1.0,46.5,15.173990905493518,0.0,0.0,1.0,0.0
0.5,0.5,0.005,5,1.0,47.9,10.143470806385752,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,1.0,53.9,15.687255974197654,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,1.0,51.7,16.48059464946578,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,1.0,50.3,20.134795752626843,0.0,0.0,1.0,0.0
1,1,0.001,5,0.9,50.9,18.694651641579203,0.1,0.0,0.9,0.0
1,1,0.002,5,1.0,47.3,16.199074047611486,0.0,0.0,1.0,0.0
1,1,0.005,5,0.9,47.0,17.725687574816384,0.1,0.0,0.9,0.0
1,1,0.01,5,1.0,45.3,12.264175471673585,0.0,0.0,1.0,0.0
1,1,0.02,5,1.0,46.7,13.7189649755366,0.0,0.0,1.0,0.0
1,1,0.05,6,1.0,41.9,5.3188344587888805,0.0,0.0,1.0,0.0
0.01,0.01,0.001,5,0.9,61.0,18.281137820168635,0.1,0.0,0.9,0.0
0.01,0.01,0.002,5,1.0,42.0,12.938315191708694,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,1.0,45.4,16.85941873256608,0.0,0.0,1.0,0.0
0.01,0.01,0.01,5,1.0,51.4,15.994999218505765,0.0,0.0,1.0,0.0
0.01,0.01,0.02,5,1.0,47.6,14.277254638059796,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,46.1,10.6061303028013,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,1.0,45.1,7.7903786814249285,0.0,0.0,1.0,0.0
0.02,0.02,0.002,5,0.9,48.1,20.00224987345174,0.1,0.0,0.9,0.0
0.02,0.02,0.005,5,1.0,47.9,13.67808466123821,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,0.9,52.0,19.884667460131183,0.1,0.0,0.9,0.0
0.02,0.02,0.02,5,1.0,46.0,9.50789145920377,0.0,0.0,1.0,0.0
0.02,0.02,0.05,5,1.0,44.3,10.257192598367256,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,0.9,53.0,21.372880011828073,0.1,0.0,0.9,0.0
0.05,0.05,0.002,5,1.0,44.6,16.632498309033434,0.0,0.0,1.0,0.0
0.05,0.05,0.005,5,1.0,44.7,14.23411395205195,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,1.0,46.2,12.204917041913886,0.0,0.0,1.0,0.0
0.05,0.05,0.02,5,0.9,45.8,17.46310396235446,0.1,0.0,0.9,0.0
0.05,0.05,0.05,5,1.0,47.0,17.60113632695344,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,1.0,44.0,10.75174404457249,0.0,0.0,1.0,0.0
0.1,0.1,0.002,5,1.0,48.6,9.079647570252934,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,1.0,43.4,12.117755567760888,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,45.0,10.246950765959598,0.0,0.0,1.0,0.0
0.1,0.1,0.02,5,1.0,47.7,17.117534869250306,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,1.0,57.1,16.555663683464942,0.0,0.0,1.0,0.0
0.2,0.2,0.001,5,1.0,43.4,14.595889832415152,0.0,0.0,1.0,0.0
0.2,0.2,0.002,5,1.0,52.5,21.754309917807092,0.0,0.0,1.0,0.0
0.2,0.2,0.005,5,1.0,41.5,8.80056816347672,0.0,0.0,1.0,0.0
0.2,0.2,0.01,5,1.0,45.3,10.208329931972223,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,1.0,54.1,12.23478647136925,0.0,0.0,1.0,0.0
0.2,0.2,0.05,5,1.0,43.8,12.139192724394816,0.0,0.0,1.0,0.0
0.5,0.5,0.001,4,1.0,43.8,7.11055553385247,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,1.0,40.9,9.544108130150246,0.0,0.0,1.0,0.0
0.5,0.5,0.005,6,1.0,43.5,12.03536455617361,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,1.0,49.3,10.040418317978588,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,1.0,46.3,13.921566003866088,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,1.0,50.1,19.149151417229955,0.0,0.0,1.0,0.0
1,1,0.001,4,1.0,50.3,9.685556256612214,0.0,0.0,1.0,0.0
1,1,0.002,5,0.9,44.2,18.80319121851395,0.1,0.0,0.9,0.0
1,1,0.005,5,1.0,45.3,9.726767191621274,0.0,0.0,1.0,0.0
1,1,0.01,5,1.0,42.0,8.54400374531753,0.0,0.0,1.0,0.0
1,1,0.02,5,1.0,46.5,14.016062214473793,0.0,0.0,1.0,0.0
1,1,0.05,5,1.0,44.2,12.351518125315609,0.0,0.0,1.0,0.0
0.01,0.01,0.001,5,1.0,43.8,10.43839068055991,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,46.5,12.167579874403948,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,0.9,54.5,21.01547049199708,0.1,0.0,0.9,0.0
0.01,0.01,0.01,5,1.0,43.1,8.665448632355973,0.0,0.0,1.0,0.0
0.01,0.01,0.02,5,1.0,39.7,11.260994627474075,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,0.9,52.6,19.18436863699194,0.1,0.0,0.9,0.0
0.02,0.02,0.001,5,0.9,46.0,17.58408371226661,0.1,0.0,0.9,0.0
0.02,0.02,0.002,5,1.0,47.6,12.85457117137713,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,1.0,48.7,16.87631476359694,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,42.4,8.639444426582072,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,0.9,53.2,21.985449733858072,0.1,0.0,0.9,0.0
0.02,0.02,0.05,5,1.0,50.7,17.181676286090365,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,1.0,42.5,8.151686941977102,0.0,0.0,1.0,0.0
0.05,0.05,0.002,5,1.0,51.7,18.12760326132498,0.0,0.0,1.0,0.0
0.05,0.05,0.005,6,1.0,49.1,20.588589072590672,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,0.9,51.9,19.962214306033285,0.1,0.0,0.9,0.0
0.05,0.05,0.02,5,1.0,43.3,15.95650337636664,0.0,0.0,1.0,0.0
0.05,0.05,0.05,5,1.0,43.6,6.359245238233859,0.0,0.0,1.0,0.0
