opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.2,0.2,0.05,3,1.0,44.5,16.8062488378579,0.0,0.0,0.0,1.0
0.2,0.2,0.1,7,1.0,42.5,11.621101496846158,0.0,0.0,0.3,0.7
0.2,0.2,0.2,3,1.0,54.8,21.041863035387337,0.0,0.0,0.2,0.8
0.2,0.2,0.5,3,0.9,49.5,20.886598574205422,0.1,0.0,0.2,0.7
0.5,0.5,0.001,3,0.9,54.4,21.555509736491967,0.1,0.0,0.4,0.5
0.5,0.5,0.01,3,1.0,58.4,19.272778730634563,0.0,0.0,0.0,1.0
0.5,0.5,0.05,3,0.9,59.2,21.85314622657342,0.1,0.0,0.0,0.9
0.5,0.5,0.1,3,1.0,39.1,11.81905241548577,0.0,0.0,0.0,1.0
0.5,0.5,0.2,3,1.0,47.1,16.73588957898564,0.0,0.0,0.6,0.4
0.5,0.5,0.5,3,1.0,46.1,18.997105042611096,0.0,0.0,0.1,0.9
1,1,0.001,7,1.0,41.3,20.13976166691155,0.0,0.0,0.3,0.7
1,1,0.01,3,1.0,60.4,21.152777595389214,0.0,0.0,0.0,1.0
1,1,0.05,7,1.0,42.9,13.750999963639007,0.0,0.0,0.0,1.0
1,1,0.1,3,1.0,45.4,22.821919288263203,0.0,0.0,0.0,1.0
1,1,0.2,3,1.0,53.5,18.161773041198373,0.0,0.0,0.0,1.0
1,1,0.5,3,1.0,45.5,15.14760707174569,0.0,0.0,0.3,0.7
0.01,0.01,0.001,3,0.9,53.0,19.88969582472291,0.1,0.0,0.1,0.8
0.01,0.01,0.01,7,0.8,53.7,29.4144522301538,0.2,0.0,0.2,0.6
0.01,0.01,0.05,5,1.0,55.0,22.956480566497994,0.0,0.0,0.1,0.9
0.01,0.01,0.1,3,1.0,46.9,10.709341716464182,0.0,0.0,0.0,1.0
0.01,0.01,0.2,3,0.8,60.4,28.24606167238187,0.2,0.0,0.1,0.7
0.01,0.01,0.5,7,1.0,44.9,17.733865906789752,0.0,0.0,0.0,1.0
0.02,0.02,0.001,3,1.0,49.5,20.805047464497648,0.0,0.0,0.1,0.9
0.02,0.02,0.01,7,1.0,43.5,16.163229875244614,0.0,0.0,0.2,0.8
0.02,0.02,0.05,3,1.0,54.6,22.729716232280598,0.0,0.0,0.1,0.9
0.02,0.02,0.1,7,0.9,57.7,28.08932181452589,0.1,0.0,0.0,0.9
0.02,0.02,0.2,3,1.0,46.5,16.36001222493431,0.0,0.0,0.1,0.9
0.02,0.02,0.5,7,1.0,33.0,8.449852069711044,0.0,0.0,0.4,0.6
0.05,0.05,0.001,3,1.0,45.8,11.889491158161478,0.0,0.0,0.0,1.0
0.05,0.05,0.01,7,0.9,47.2,19.02524638473836,0.1,0.0,0.1,0.8
0.05,0.05,0.05,3,0.8,61.9,26.545997815113296,0.2,0.0,0.1,0.7
0.05,0.05,0.1,3,1.0,48.3,21.1,0.0,0.0,0.2,0.8
0.05,0.05,0.2,3,0.9,51.8,22.688322987827902,0.1,0.0,0.1,0.8
0.05,0.05,0.5,7,1.0,43.2,12.221292893961751,0.0,0.0,0.0,1.0
0.1,0.1,0.001,3,1.0,44.2,17.679366504487653,0.0,0.0,0.1,0.9
0.1,0.1,0.01,7,1.0,51.1,23.325736858671796,0.0,0.0,0.0,1.0
0.1,0.1,0.05,3,1.0,47.9,11.139569111954016,0.0,0.0,0.5,0.5
0.1,0.1,0.1,3,1.0,42.9,17.985827754095723,0.0,0.0,0.3,0.7
0.1,0.1,0.2,3,1.0,43.6,17.72681584492827,0.0,0.0,0.0,1.0
0.1,0.1,0.5,3,1.0,40.7,13.498518437221174,0.0,0.0,0.0,1.0
0.2,0.2,0.001,3,1.0,59.3,19.09476368012969,0.0,0.0,0.0,1.0
0.2,0.2,0.01,7,0.9,63.4,20.259318843435977,0.1,0.0,0.0,0.9
0.2,0.2,0.05,3,1.0,47.0,15.453155017665487,0.0,0.0,0.0,1.0
0.2,0.2,0.1,3,1.0,40.1,14.313979181206042,0.0,0.0,0.3,0.7
0.2,0.2,0.2,3,0.9,54.7,25.416726775885206,0.1,0.0,0.4,0.5
0.2,0.2,0.5,3,0.9,49.8,22.868318696397424,0.1,0.0,0.1,0.8
0.5,0.5,0.001,3,0.9,59.0,20.69782597279241,0.1,0.0,0.1,0.8
0.5,0.5,0.01,7,1.0,41.4,15.402597183592123,0.0,0.0,0.3,0.7
0.5,0.5,0.05,5,0.9,45.1,18.129809706668183,0.1,0.0,0.0,0.9
0.5,0.5,0.1,3,0.9,56.4,20.470466531078376,0.1,0.0,0.0,0.9
0.5,0.5,0.2,3,0.9,58.6,17.97331355092878,0.1,0.0,0.1,0.8
0.5,0.5,0.5,7,1.0,61.1,20.24574029271343,0.0,0.0,0.0,1.0
1,1,0.001,3,1.0,37.1,5.8898217290508885,0.0,0.0,0.0,1.0
1,1,0.01,7,0.9,57.5,15.75595125658873,0.1,0.0,0.0,0.9
1,1,0.05,7,1.0,45.2,15.104966070799364,0.0,0.0,0.1,0.9
